,sorted_cifs_ids_non_empty,sorted_cifs_ids_short_non_empty,gph_grouped_non_empty,sorted_cifs_non_empty
0,000071,71,"['Fe3Sn2-71-Cagome_big.gph', 'Fe3Sn2-71-Cagome_big_1.gph']",intermetallics_search_000071.cif
1,000074,74,"['Fe3Mn4Ge6-74-Cagome_big.gph', 'Fe3Mn4Ge6-74-Cagome_big_1.gph']",intermetallics_search_000074.cif
2,000077,77,"['Bi3Y5-77-Cagome_big.gph', 'Bi3Y5-77-Cagome_big_1.gph', 'Bi3Y5-77-Cagome_big_2.gph', 'Bi3Y5-77-Cagome_big_3.gph', 'Bi3Y5-77-Cagome_big_4.gph', 'Bi3Y5-77-Cagome_big_5.gph']",intermetallics_search_000077.cif
3,000362,362,"['Cs6K7-362-Cagome_big.gph', 'Cs6K7-362-Cagome_big_1.gph']",intermetallics_search_000362.cif
4,000458,458,"['Tb2(Fe0.832Al0.168)17-458-Cagome_big.gph', 'Tb2(Fe0.832Al0.168)17-458-Cagome_big_1.gph', 'Tb2(Fe0.832Al0.168)17-458-Cagome_big_2.gph', 'Tb2(Fe0.832Al0.168)17-458-Cagome_big_3.gph']",intermetallics_search_000458.cif
5,001104,1104,"['Mg(Ag0.2Zn1.8)-1104-Cagome_big.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_1.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_10.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_11.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_2.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_3.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_4.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_5.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_6.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_7.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_8.gph', 'Mg(Ag0.2Zn1.8)-1104-Cagome_big_9.gph']",intermetallics_search_001104.cif
6,001345,1345,"['Sb3Ti5-1345-Cagome_big.gph', 'Sb3Ti5-1345-Cagome_big_1.gph', 'Sb3Ti5-1345-Cagome_big_2.gph', 'Sb3Ti5-1345-Cagome_big_3.gph', 'Sb3Ti5-1345-Cagome_big_4.gph', 'Sb3Ti5-1345-Cagome_big_5.gph']",intermetallics_search_001345.cif
7,002029,2029,['BaCd4.43-2029-Cagome_big.gph'],intermetallics_search_002029.cif
8,002054,2054,"['Sm2Co7-2054-Cagome_big.gph', 'Sm2Co7-2054-Cagome_big_1.gph', 'Sm2Co7-2054-Cagome_big_2.gph']",intermetallics_search_002054.cif
9,002065,2065,"['Ca5Sb3-2065-Cagome_big.gph', 'Ca5Sb3-2065-Cagome_big_1.gph', 'Ca5Sb3-2065-Cagome_big_2.gph', 'Ca5Sb3-2065-Cagome_big_3.gph', 'Ca5Sb3-2065-Cagome_big_4.gph', 'Ca5Sb3-2065-Cagome_big_5.gph']",intermetallics_search_002065.cif
10,002140,2140,"['Ca5Bi3-2140-Cagome_big.gph', 'Ca5Bi3-2140-Cagome_big_1.gph', 'Ca5Bi3-2140-Cagome_big_2.gph', 'Ca5Bi3-2140-Cagome_big_3.gph', 'Ca5Bi3-2140-Cagome_big_4.gph', 'Ca5Bi3-2140-Cagome_big_5.gph']",intermetallics_search_002140.cif
11,002306,2306,"['Nb(Al0.77Ir0.23)2-2306-Cagome_big.gph', 'Nb(Al0.77Ir0.23)2-2306-Cagome_big_1.gph', 'Nb(Al0.77Ir0.23)2-2306-Cagome_big_2.gph', 'Nb(Al0.77Ir0.23)2-2306-Cagome_big_3.gph']",intermetallics_search_002306.cif
